election_id,kind,prefecture,age_band,count,source_page
h26-12-14,candidacy,石川県,70歳以上,,8
h26-12-14,candidacy,石川県,計,9,8
h26-12-14,candidacy,福井県,25歳～29歳,,8
h26-12-14,candidacy,福井県,30歳～34歳,,8
h26-12-14,candidacy,福井県,35歳～39歳,,8
h26-12-14,candidacy,福井県,40歳～44歳,1,8
h26-12-14,candidacy,福井県,45歳～49歳,1,8
h26-12-14,candidacy,福井県,50歳～54歳,,8
h26-12-14,candidacy,福井県,55歳～59歳,3,8
h26-12-14,candidacy,福井県,60歳～64歳,1,8
h26-12-14,candidacy,福井県,65歳～69歳,,8
h26-12-14,candidacy,福井県,70歳以上,,8
h26-12-14,candidacy,福井県,計,6,8
h26-12-14,candidacy,山梨県,25歳～29歳,,8
h26-12-14,candidacy,山梨県,30歳～34歳,,8
h26-12-14,candidacy,山梨県,35歳～39歳,1,8
h26-12-14,candidacy,山梨県,40歳～44歳,,8
h26-12-14,candidacy,山梨県,45歳～49歳,3,8
h26-12-14,candidacy,山梨県,50歳～54歳,,8
h26-12-14,candidacy,山梨県,55歳～59歳,,8
h26-12-14,candidacy,山梨県,60歳～64歳,2,8
h26-12-14,candidacy,山梨県,65歳～69歳,,8
h26-12-14,candidacy,山梨県,70歳以上,,8
h26-12-14,candidacy,山梨県,計,6,8
h26-12-14,candidacy,長野県,25歳～29歳,,8
h26-12-14,candidacy,長野県,30歳～34歳,2,8
h26-12-14,candidacy,長野県,35歳～39歳,3,8
h26-12-14,candidacy,長野県,40歳～44歳,2,8
h26-12-14,candidacy,長野県,45歳～49歳,,8
h26-12-14,candidacy,長野県,50歳～54歳,2,8
h26-12-14,candidacy,長野県,55歳～59歳,6,8
h26-12-14,candidacy,長野県,60歳～64歳,2,8
h26-12-14,candidacy,長野県,65歳～69歳,1,8
h26-12-14,candidacy,長野県,70歳以上,,8
h26-12-14,candidacy,長野県,計,18,8
h26-12-14,candidacy,岐阜県,25歳～29歳,,8
h26-12-14,candidacy,岐阜県,30歳～34歳,,8
h26-12-14,candidacy,岐阜県,35歳～39歳,,8
h26-12-14,candidacy,岐阜県,40歳～44歳,,8
h26-12-14,candidacy,岐阜県,45歳～49歳,2,8
h26-12-14,candidacy,岐阜県,50歳～54歳,4,8
h26-12-14,candidacy,岐阜県,55歳～59歳,4,8
h26-12-14,candidacy,岐阜県,60歳～64歳,2,8
h26-12-14,candidacy,岐阜県,65歳～69歳,1,8
h26-12-14,candidacy,岐阜県,70歳以上,1,8
h26-12-14,candidacy,岐阜県,計,14,8
h26-12-14,candidacy,静岡県,25歳～29歳,,8
h26-12-14,candidacy,静岡県,30歳～34歳,2,8
h26-12-14,candidacy,静岡県,35歳～39歳,6,8
h26-12-14,candidacy,静岡県,40歳～44歳,3,8
h26-12-14,candidacy,静岡県,45歳～49歳,2,8
h26-12-14,candidacy,静岡県,50歳～54歳,1,8
h26-12-14,candidacy,静岡県,55歳～59歳,1,8
h26-12-14,candidacy,静岡県,60歳～64歳,5,8
h26-12-14,candidacy,静岡県,65歳～69歳,5,8
h26-12-14,candidacy,静岡県,70歳以上,1,8
h26-12-14,candidacy,静岡県,計,26,8
h26-12-14,candidacy,愛知県,25歳～29歳,,8
h26-12-14,candidacy,愛知県,30歳～34歳,2,8
h26-12-14,candidacy,愛知県,35歳～39歳,6,8
h26-12-14,candidacy,愛知県,40歳～44歳,10,8
h26-12-14,candidacy,愛知県,45歳～49歳,8,8
h26-12-14,candidacy,愛知県,50歳～54歳,8,8
h26-12-14,candidacy,愛知県,55歳～59歳,8,8
h26-12-14,candidacy,愛知県,60歳～64歳,4,8
h26-12-14,candidacy,愛知県,65歳～69歳,4,8
h26-12-14,candidacy,愛知県,70歳以上,3,8
h26-12-14,candidacy,愛知県,計,53,8
h26-12-14,candidacy,三重県,25歳～29歳,,8
h26-12-14,candidacy,三重県,30歳～34歳,1,8
h26-12-14,candidacy,三重県,35歳～39歳,1,8
h26-12-14,candidacy,三重県,40歳～44歳,3,8
h26-12-14,candidacy,三重県,45歳～49歳,,8
