election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,北海道,日本共産党,266100,30271,296371,27
h26-12-14,北海道,次世代の党,,,,27
h26-12-14,北海道,社会民主党,,,,27
h26-12-14,北海道,生活の党,,,,27
h26-12-14,青森県,日本共産党,41416,10775,52191,27
h26-12-14,青森県,次世代の党,,,,27
h26-12-14,青森県,社会民主党,,,,27
h26-12-14,青森県,生活の党,,,,27
h26-12-14,岩手県,日本共産党,51038,15374,66412,27
h26-12-14,岩手県,次世代の党,,,,27
h26-12-14,岩手県,社会民主党,9052,,9052,27
h26-12-14,岩手県,生活の党,137302,,137302,27
h26-12-14,宮城県,日本共産党,74930,21630,96560,27
h26-12-14,宮城県,次世代の党,15228,,15228,27
h26-12-14,宮城県,社会民主党,11725,,11725,27
h26-12-14,宮城県,生活の党,,,,27
h26-12-14,秋田県,日本共産党,22826,14333,37159,27
h26-12-14,秋田県,次世代の党,,,,27
h26-12-14,秋田県,社会民主党,5441,,5441,27
h26-12-14,秋田県,生活の党,,,,27
h26-12-14,山形県,日本共産党,27371,11086,38457,27
h26-12-14,山形県,次世代の党,,,,27
h26-12-14,山形県,社会民主党,,,,27
h26-12-14,山形県,生活の党,,,,27
h26-12-14,福島県,日本共産党,37474.422,40024,77498.422,27
h26-12-14,福島県,次世代の党,,,,27
h26-12-14,福島県,社会民主党,10139,,10139,27
h26-12-14,福島県,生活の党,,,,27
h26-12-14,茨城県,日本共産党,65162,108816,173978,27
h26-12-14,茨城県,次世代の党,,,,27
h26-12-14,茨城県,社会民主党,,,,27
h26-12-14,茨城県,生活の党,,,,27
h26-12-14,栃木県,日本共産党,56946,35981,92927,27
h26-12-14,栃木県,次世代の党,,,,27
h26-12-14,栃木県,社会民主党,,,,27
h26-12-14,栃木県,生活の党,,,,27
h26-12-14,群馬県,日本共産党,100309,21394,121703,27
h26-12-14,群馬県,次世代の党,,,,27
h26-12-14,群馬県,社会民主党,23590,,23590,27
h26-12-14,群馬県,生活の党,,,,27
h26-12-14,埼玉県,日本共産党,264004,208597,472601,27
h26-12-14,埼玉県,次世代の党,88053,,88053,27
h26-12-14,埼玉県,社会民主党,8492,,8492,27
h26-12-14,埼玉県,生活の党,,,,27
h26-12-14,千葉県,日本共産党,271174,77572,348746,27
h26-12-14,千葉県,次世代の党,65756,,65756,27
h26-12-14,千葉県,社会民主党,14718,,14718,27
h26-12-14,千葉県,生活の党,69021,,69021,27
