election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r06-10-27,京都府,社会民主党,,,,29
r06-10-27,大阪府,日本共産党,290848,113248,404096,29
r06-10-27,大阪府,国民民主党,40552,,40552,29
r06-10-27,大阪府,れいわ新選組,,49271,49271,29
r06-10-27,大阪府,社会民主党,,27617,27617,29
r06-10-27,兵庫県,日本共産党,70146,100488,170634,29
r06-10-27,兵庫県,国民民主党,43802,,43802,29
r06-10-27,兵庫県,れいわ新選組,,12920,12920,29
r06-10-27,兵庫県,社会民主党,,,,29
r06-10-27,奈良県,日本共産党,20543,27824,48367,29
r06-10-27,奈良県,国民民主党,,,,29
r06-10-27,奈良県,れいわ新選組,,,,29
r06-10-27,奈良県,社会民主党,,,,29
r06-10-27,和歌山県,日本共産党,32727,,32727,29
r06-10-27,和歌山県,国民民主党,,,,29
r06-10-27,和歌山県,れいわ新選組,,,,29
r06-10-27,和歌山県,社会民主党,,,,29
r06-10-27,鳥取県,日本共産党,12875,,12875,29
r06-10-27,鳥取県,国民民主党,,,,29
r06-10-27,鳥取県,れいわ新選組,,,,29
r06-10-27,鳥取県,社会民主党,,,,29
r06-10-27,島根県,日本共産党,,22125,22125,29
r06-10-27,島根県,国民民主党,,,,29
r06-10-27,島根県,れいわ新選組,,,,29
r06-10-27,島根県,社会民主党,,,,29
r06-10-27,岡山県,日本共産党,25410,22221,47631,29
r06-10-27,岡山県,国民民主党,22152,,22152,29
r06-10-27,岡山県,れいわ新選組,,,,29
r06-10-27,岡山県,社会民主党,,,,29
r06-10-27,広島県,日本共産党,38507,28460,66967,29
r06-10-27,広島県,国民民主党,61679,,61679,29
r06-10-27,広島県,れいわ新選組,,,,29
r06-10-27,広島県,社会民主党,,,,29
r06-10-27,山口県,日本共産党,,29903,29903,29
r06-10-27,山口県,国民民主党,31710,,31710,29
r06-10-27,山口県,れいわ新選組,,,,29
r06-10-27,山口県,社会民主党,,,,29
r06-10-27,徳島県,日本共産党,16652,,16652,29
r06-10-27,徳島県,国民民主党,,,,29
r06-10-27,徳島県,れいわ新選組,,,,29
r06-10-27,徳島県,社会民主党,,,,29
r06-10-27,香川県,日本共産党,10812,6466,17278,29
r06-10-27,香川県,国民民主党,89899,,89899,29
r06-10-27,香川県,れいわ新選組,,,,29
r06-10-27,香川県,社会民主党,,,,29
r06-10-27,愛媛県,日本共産党,21571,,21571,29
r06-10-27,愛媛県,国民民主党,,48393,48393,29
r06-10-27,愛媛県,れいわ新選組,,,,29
r06-10-27,愛媛県,社会民主党,,,,29
r06-10-27,高知県,日本共産党,,43394,43394,29
r06-10-27,高知県,国民民主党,,,,29
r06-10-27,高知県,れいわ新選組,,,,29
r06-10-27,高知県,社会民主党,,,,29
r06-10-27,福岡県,日本共産党,62226,56876,119102,29
r06-10-27,福岡県,国民民主党,87750,,87750,29
r06-10-27,福岡県,れいわ新選組,,22661,22661,29
r06-10-27,福岡県,社会民主党,8067,35348,43415,29
r06-10-27,佐賀県,日本共産党,7596,,7596,29
r06-10-27,佐賀県,国民民主党,,,,29
