election_id,kind,prefecture,age_band,count,source_page
r06-10-27,winners,新潟県,70歳以上,,24
r06-10-27,winners,新潟県,計,5,24
r06-10-27,winners,富山県,25歳～29歳,,24
r06-10-27,winners,富山県,30歳～34歳,,24
r06-10-27,winners,富山県,35歳～39歳,,24
r06-10-27,winners,富山県,40歳～44歳,,24
r06-10-27,winners,富山県,45歳～49歳,,24
r06-10-27,winners,富山県,50歳～54歳,1,24
r06-10-27,winners,富山県,55歳～59歳,1,24
r06-10-27,winners,富山県,60歳～64歳,1,24
r06-10-27,winners,富山県,65歳～69歳,,24
r06-10-27,winners,富山県,70歳以上,,24
r06-10-27,winners,富山県,計,3,24
r06-10-27,winners,石川県,25歳～29歳,,24
r06-10-27,winners,石川県,30歳～34歳,,24
r06-10-27,winners,石川県,35歳～39歳,,24
r06-10-27,winners,石川県,40歳～44歳,,24
r06-10-27,winners,石川県,45歳～49歳,,24
r06-10-27,winners,石川県,50歳～54歳,3,24
r06-10-27,winners,石川県,55歳～59歳,,24
r06-10-27,winners,石川県,60歳～64歳,,24
r06-10-27,winners,石川県,65歳～69歳,,24
r06-10-27,winners,石川県,70歳以上,,24
r06-10-27,winners,石川県,計,3,24
r06-10-27,winners,福井県,25歳～29歳,,24
r06-10-27,winners,福井県,30歳～34歳,,24
r06-10-27,winners,福井県,35歳～39歳,,24
r06-10-27,winners,福井県,40歳～44歳,,24
r06-10-27,winners,福井県,45歳～49歳,,24
r06-10-27,winners,福井県,50歳～54歳,1,24
r06-10-27,winners,福井県,55歳～59歳,,24
r06-10-27,winners,福井県,60歳～64歳,,24
r06-10-27,winners,福井県,65歳～69歳,1,24
r06-10-27,winners,福井県,70歳以上,,24
r06-10-27,winners,福井県,計,2,24
r06-10-27,winners,山梨県,25歳～29歳,,24
r06-10-27,winners,山梨県,30歳～34歳,,24
r06-10-27,winners,山梨県,35歳～39歳,,24
r06-10-27,winners,山梨県,40歳～44歳,,24
r06-10-27,winners,山梨県,45歳～49歳,,24
r06-10-27,winners,山梨県,50歳～54歳,,24
r06-10-27,winners,山梨県,55歳～59歳,2,24
r06-10-27,winners,山梨県,60歳～64歳,,24
r06-10-27,winners,山梨県,65歳～69歳,,24
r06-10-27,winners,山梨県,70歳以上,,24
r06-10-27,winners,山梨県,計,2,24
r06-10-27,winners,長野県,25歳～29歳,,24
r06-10-27,winners,長野県,30歳～34歳,,24
r06-10-27,winners,長野県,35歳～39歳,,24
r06-10-27,winners,長野県,40歳～44歳,,24
r06-10-27,winners,長野県,45歳～49歳,1,24
r06-10-27,winners,長野県,50歳～54歳,,24
r06-10-27,winners,長野県,55歳～59歳,,24
r06-10-27,winners,長野県,60歳～64歳,,24
r06-10-27,winners,長野県,65歳～69歳,3,24
r06-10-27,winners,長野県,70歳以上,1,24
r06-10-27,winners,長野県,計,5,24
r06-10-27,winners,岐阜県,25歳～29歳,,24
r06-10-27,winners,岐阜県,30歳～34歳,,24
r06-10-27,winners,岐阜県,35歳～39歳,,24
r06-10-27,winners,岐阜県,40歳～44歳,,24
r06-10-27,winners,岐阜県,45歳～49歳,,24
r06-10-27,winners,岐阜県,50歳～54歳,,24
r06-10-27,winners,岐阜県,55歳～59歳,,24
r06-10-27,winners,岐阜県,60歳～64歳,3,24
r06-10-27,winners,岐阜県,65歳～69歳,1,24
r06-10-27,winners,岐阜県,70歳以上,1,24
r06-10-27,winners,岐阜県,計,5,24
r06-10-27,winners,静岡県,25歳～29歳,,24
r06-10-27,winners,静岡県,30歳～34歳,,24
r06-10-27,winners,静岡県,35歳～39歳,,24
r06-10-27,winners,静岡県,40歳～44歳,,24
r06-10-27,winners,静岡県,45歳～49歳,3,24
r06-10-27,winners,静岡県,50歳～54歳,2,24
r06-10-27,winners,静岡県,55歳～59歳,1,24
r06-10-27,winners,静岡県,60歳～64歳,1,24
r06-10-27,winners,静岡県,65歳～69歳,,24
r06-10-27,winners,静岡県,70歳以上,1,24
r06-10-27,winners,静岡県,計,8,24
r06-10-27,winners,愛知県,25歳～29歳,,24
r06-10-27,winners,愛知県,30歳～34歳,,24
r06-10-27,winners,愛知県,35歳～39歳,1,24
r06-10-27,winners,愛知県,40歳～44歳,2,24
r06-10-27,winners,愛知県,45歳～49歳,1,24
r06-10-27,winners,愛知県,50歳～54歳,5,24
r06-10-27,winners,愛知県,55歳～59歳,3,24
r06-10-27,winners,愛知県,60歳～64歳,1,24
r06-10-27,winners,愛知県,65歳～69歳,2,24
r06-10-27,winners,愛知県,70歳以上,1,24
r06-10-27,winners,愛知県,計,16,24
r06-10-27,winners,三重県,25歳～29歳,,24
r06-10-27,winners,三重県,30歳～34歳,,24
r06-10-27,winners,三重県,35歳～39歳,,24
r06-10-27,winners,三重県,40歳～44歳,,24
r06-10-27,winners,三重県,45歳～49歳,1,24
r06-10-27,winners,三重県,50歳～54歳,1,24
r06-10-27,winners,三重県,55歳～59歳,1,24
r06-10-27,winners,三重県,60歳～64歳,,24
r06-10-27,winners,三重県,65歳～69歳,,24
r06-10-27,winners,三重県,70歳以上,1,24
r06-10-27,winners,三重県,計,4,24
r06-10-27,winners,滋賀県,25歳～29歳,,24
r06-10-27,winners,滋賀県,30歳～34歳,,24
r06-10-27,winners,滋賀県,35歳～39歳,1,24
r06-10-27,winners,滋賀県,40歳～44歳,,24
r06-10-27,winners,滋賀県,45歳～49歳,,24
r06-10-27,winners,滋賀県,50歳～54歳,1,24
r06-10-27,winners,滋賀県,55歳～59歳,1,24
r06-10-27,winners,滋賀県,60歳～64歳,,24
r06-10-27,winners,滋賀県,65歳～69歳,,24
r06-10-27,winners,滋賀県,70歳以上,,24
r06-10-27,winners,滋賀県,計,3,24
r06-10-27,winners,京都府,25歳～29歳,,24
r06-10-27,winners,京都府,30歳～34歳,,24
r06-10-27,winners,京都府,35歳～39歳,,24
r06-10-27,winners,京都府,40歳～44歳,,24
r06-10-27,winners,京都府,45歳～49歳,,24
r06-10-27,winners,京都府,50歳～54歳,3,24
r06-10-27,winners,京都府,55歳～59歳,1,24
r06-10-27,winners,京都府,60歳～64歳,2,24
r06-10-27,winners,京都府,65歳～69歳,,24
r06-10-27,winners,京都府,70歳以上,,24
r06-10-27,winners,京都府,計,6,24
r06-10-27,winners,大阪府,25歳～29歳,,24
r06-10-27,winners,大阪府,30歳～34歳,,24
r06-10-27,winners,大阪府,35歳～39歳,,24
r06-10-27,winners,大阪府,40歳～44歳,4,24
r06-10-27,winners,大阪府,45歳～49歳,5,24
r06-10-27,winners,大阪府,50歳～54歳,3,24
r06-10-27,winners,大阪府,55歳～59歳,4,24
r06-10-27,winners,大阪府,60歳～64歳,2,24
r06-10-27,winners,大阪府,65歳～69歳,1,24
r06-10-27,winners,大阪府,70歳以上,,24
r06-10-27,winners,大阪府,計,19,24
r06-10-27,winners,兵庫県,25歳～29歳,,24
r06-10-27,winners,兵庫県,30歳～34歳,,24
r06-10-27,winners,兵庫県,35歳～39歳,,24
r06-10-27,winners,兵庫県,40歳～44歳,,24
r06-10-27,winners,兵庫県,45歳～49歳,1,24
r06-10-27,winners,兵庫県,50歳～54歳,3,24
r06-10-27,winners,兵庫県,55歳～59歳,2,24
r06-10-27,winners,兵庫県,60歳～64歳,1,24
r06-10-27,winners,兵庫県,65歳～69歳,2,24
r06-10-27,winners,兵庫県,70歳以上,3,24
r06-10-27,winners,兵庫県,計,12,24
r06-10-27,winners,奈良県,25歳～29歳,,24
r06-10-27,winners,奈良県,30歳～34歳,,24
r06-10-27,winners,奈良県,35歳～39歳,,24
r06-10-27,winners,奈良県,40歳～44歳,,24
r06-10-27,winners,奈良県,45歳～49歳,,24
r06-10-27,winners,奈良県,50歳～54歳,1,24
r06-10-27,winners,奈良県,55歳～59歳,,24
r06-10-27,winners,奈良県,60歳～64歳,2,24
r06-10-27,winners,奈良県,65歳～69歳,,24
r06-10-27,winners,奈良県,70歳以上,,24
r06-10-27,winners,奈良県,計,3,24
r06-10-27,winners,和歌山県,25歳～29歳,,24
r06-10-27,winners,和歌山県,30歳～34歳,1,24
r06-10-27,winners,和歌山県,35歳～39歳,,24
r06-10-27,winners,和歌山県,40歳～44歳,,24
r06-10-27,winners,和歌山県,45歳～49歳,,24
r06-10-27,winners,和歌山県,50歳～54歳,,24
r06-10-27,winners,和歌山県,55歳～59歳,,24
r06-10-27,winners,和歌山県,60歳～64歳,1,24
r06-10-27,winners,和歌山県,65歳～69歳,,24
r06-10-27,winners,和歌山県,70歳以上,,24
r06-10-27,winners,和歌山県,計,2,24
r06-10-27,winners,鳥取県,25歳～29歳,,24
r06-10-27,winners,鳥取県,30歳～34歳,,24
r06-10-27,winners,鳥取県,35歳～39歳,,24
r06-10-27,winners,鳥取県,40歳～44歳,,24
r06-10-27,winners,鳥取県,45歳～49歳,,24
r06-10-27,winners,鳥取県,50歳～54歳,,24
r06-10-27,winners,鳥取県,55歳～59歳,,24
r06-10-27,winners,鳥取県,60歳～64歳,1,24
r06-10-27,winners,鳥取県,65歳～69歳,1,24
r06-10-27,winners,鳥取県,70歳以上,,24
r06-10-27,winners,鳥取県,計,2,24
r06-10-27,winners,島根県,25歳～29歳,,24
r06-10-27,winners,島根県,30歳～34歳,,24
r06-10-27,winners,島根県,35歳～39歳,,24
r06-10-27,winners,島根県,40歳～44歳,1,24
r06-10-27,winners,島根県,45歳～49歳,,24
r06-10-27,winners,島根県,50歳～54歳,,24
r06-10-27,winners,島根県,55歳～59歳,1,24
r06-10-27,winners,島根県,60歳～64歳,,24
r06-10-27,winners,島根県,65歳～69歳,,24
r06-10-27,winners,島根県,70歳以上,,24
r06-10-27,winners,島根県,計,2,24
r06-10-27,winners,岡山県,25歳～29歳,,24
r06-10-27,winners,岡山県,30歳～34歳,,24
r06-10-27,winners,岡山県,35歳～39歳,,24
r06-10-27,winners,岡山県,40歳～44歳,,24
r06-10-27,winners,岡山県,45歳～49歳,,24
r06-10-27,winners,岡山県,50歳～54歳,1,24
r06-10-27,winners,岡山県,55歳～59歳,1,24
r06-10-27,winners,岡山県,60歳～64歳,,24
r06-10-27,winners,岡山県,65歳～69歳,1,24
r06-10-27,winners,岡山県,70歳以上,1,24
r06-10-27,winners,岡山県,計,4,24
r06-10-27,winners,広島県,25歳～29歳,,24
r06-10-27,winners,広島県,30歳～34歳,,24
r06-10-27,winners,広島県,35歳～39歳,,24
r06-10-27,winners,広島県,40歳～44歳,1,24
r06-10-27,winners,広島県,45歳～49歳,,24
r06-10-27,winners,広島県,50歳～54歳,,24
r06-10-27,winners,広島県,55歳～59歳,,24
r06-10-27,winners,広島県,60歳～64歳,1,24
r06-10-27,winners,広島県,65歳～69歳,2,24
r06-10-27,winners,広島県,70歳以上,2,24
r06-10-27,winners,広島県,計,6,24
r06-10-27,winners,山口県,25歳～29歳,,24
r06-10-27,winners,山口県,30歳～34歳,1,24
r06-10-27,winners,山口県,35歳～39歳,,24
r06-10-27,winners,山口県,40歳～44歳,,24
r06-10-27,winners,山口県,45歳～49歳,,24
r06-10-27,winners,山口県,50歳～54歳,1,24
r06-10-27,winners,山口県,55歳～59歳,,24
r06-10-27,winners,山口県,60歳～64歳,1,24
r06-10-27,winners,山口県,65歳～69歳,,24
r06-10-27,winners,山口県,70歳以上,,24
r06-10-27,winners,山口県,計,3,24
r06-10-27,winners,徳島県,25歳～29歳,,24
r06-10-27,winners,徳島県,30歳～34歳,,24
r06-10-27,winners,徳島県,35歳～39歳,,24
r06-10-27,winners,徳島県,40歳～44歳,,24
r06-10-27,winners,徳島県,45歳～49歳,,24
r06-10-27,winners,徳島県,50歳～54歳,,24
r06-10-27,winners,徳島県,55歳～59歳,1,24
r06-10-27,winners,徳島県,60歳～64歳,,24
r06-10-27,winners,徳島県,65歳～69歳,,24
r06-10-27,winners,徳島県,70歳以上,1,24
r06-10-27,winners,徳島県,計,2,24
r06-10-27,winners,香川県,25歳～29歳,,24
r06-10-27,winners,香川県,30歳～34歳,,24
r06-10-27,winners,香川県,35歳～39歳,,24
r06-10-27,winners,香川県,40歳～44歳,,24
r06-10-27,winners,香川県,45歳～49歳,,24
r06-10-27,winners,香川県,50歳～54歳,1,24
r06-10-27,winners,香川県,55歳～59歳,2,24
r06-10-27,winners,香川県,60歳～64歳,,24
r06-10-27,winners,香川県,65歳～69歳,,24
r06-10-27,winners,香川県,70歳以上,,24
r06-10-27,winners,香川県,計,3,24
r06-10-27,winners,愛媛県,25歳～29歳,,24
r06-10-27,winners,愛媛県,30歳～34歳,,24
r06-10-27,winners,愛媛県,35歳～39歳,,24
r06-10-27,winners,愛媛県,40歳～44歳,,24
r06-10-27,winners,愛媛県,45歳～49歳,1,24
r06-10-27,winners,愛媛県,50歳～54歳,,24
r06-10-27,winners,愛媛県,55歳～59歳,1,24
r06-10-27,winners,愛媛県,60歳～64歳,1,24
r06-10-27,winners,愛媛県,65歳～69歳,,24
r06-10-27,winners,愛媛県,70歳以上,,24
r06-10-27,winners,愛媛県,計,3,24
r06-10-27,winners,高知県,25歳～29歳,,24
r06-10-27,winners,高知県,30歳～34歳,,24
r06-10-27,winners,高知県,35歳～39歳,,24
r06-10-27,winners,高知県,40歳～44歳,,24
r06-10-27,winners,高知県,45歳～49歳,,24
r06-10-27,winners,高知県,50歳～54歳,,24
r06-10-27,winners,高知県,55歳～59歳,1,24
r06-10-27,winners,高知県,60歳～64歳,,24
r06-10-27,winners,高知県,65歳～69歳,1,24
r06-10-27,winners,高知県,70歳以上,,24
r06-10-27,winners,高知県,計,2,24
r06-10-27,winners,福岡県,25歳～29歳,,24
r06-10-27,winners,福岡県,30歳～34歳,,24
r06-10-27,winners,福岡県,35歳～39歳,,24
r06-10-27,winners,福岡県,40歳～44歳,,24
r06-10-27,winners,福岡県,45歳～49歳,1,24
r06-10-27,winners,福岡県,50歳～54歳,4,24
r06-10-27,winners,福岡県,55歳～59歳,2,24
r06-10-27,winners,福岡県,60歳～64歳,3,24
r06-10-27,winners,福岡県,65歳～69歳,,24
r06-10-27,winners,福岡県,70歳以上,1,24
r06-10-27,winners,福岡県,計,11,24
r06-10-27,winners,佐賀県,25歳～29歳,,24
r06-10-27,winners,佐賀県,30歳～34歳,,24
r06-10-27,winners,佐賀県,35歳～39歳,,24
r06-10-27,winners,佐賀県,40歳～44歳,,24
r06-10-27,winners,佐賀県,45歳～49歳,,24
r06-10-27,winners,佐賀県,50歳～54歳,,24
r06-10-27,winners,佐賀県,55歳～59歳,1,24
r06-10-27,winners,佐賀県,60歳～64歳,,24
r06-10-27,winners,佐賀県,65歳～69歳,1,24
r06-10-27,winners,佐賀県,70歳以上,,24
r06-10-27,winners,佐賀県,計,2,24
r06-10-27,winners,長崎県,25歳～29歳,,24
r06-10-27,winners,長崎県,30歳～34歳,,24
r06-10-27,winners,長崎県,35歳～39歳,,24
r06-10-27,winners,長崎県,40歳～44歳,2,24
r06-10-27,winners,長崎県,45歳～49歳,,24
r06-10-27,winners,長崎県,50歳～54歳,,24
r06-10-27,winners,長崎県,55歳～59歳,,24
r06-10-27,winners,長崎県,60歳～64歳,1,24
r06-10-27,winners,長崎県,65歳～69歳,,24
r06-10-27,winners,長崎県,70歳以上,,24
r06-10-27,winners,長崎県,計,3,24
r06-10-27,winners,熊本県,25歳～29歳,,24
r06-10-27,winners,熊本県,30歳～34歳,,24
r06-10-27,winners,熊本県,35歳～39歳,,24
r06-10-27,winners,熊本県,40歳～44歳,,24
r06-10-27,winners,熊本県,45歳～49歳,1,24
r06-10-27,winners,熊本県,50歳～54歳,,24
r06-10-27,winners,熊本県,55歳～59歳,1,24
r06-10-27,winners,熊本県,60歳～64歳,1,24
r06-10-27,winners,熊本県,65歳～69歳,,24
r06-10-27,winners,熊本県,70歳以上,1,24
r06-10-27,winners,熊本県,計,4,24
r06-10-27,winners,大分県,25歳～29歳,,24
r06-10-27,winners,大分県,30歳～34歳,,24
r06-10-27,winners,大分県,35歳～39歳,,24
r06-10-27,winners,大分県,40歳～44歳,,24
r06-10-27,winners,大分県,45歳～49歳,,24
r06-10-27,winners,大分県,50歳～54歳,1,24
r06-10-27,winners,大分県,55歳～59歳,,24
r06-10-27,winners,大分県,60歳～64歳,,24
r06-10-27,winners,大分県,65歳～69歳,2,24
r06-10-27,winners,大分県,70歳以上,,24
r06-10-27,winners,大分県,計,3,24
r06-10-27,winners,宮崎県,25歳～29歳,,24
r06-10-27,winners,宮崎県,30歳～34歳,,24
r06-10-27,winners,宮崎県,35歳～39歳,,24
r06-10-27,winners,宮崎県,40歳～44歳,,24
r06-10-27,winners,宮崎県,45歳～49歳,1,24
r06-10-27,winners,宮崎県,50歳～54歳,,24
r06-10-27,winners,宮崎県,55歳～59歳,1,24
r06-10-27,winners,宮崎県,60歳～64歳,1,24
r06-10-27,winners,宮崎県,65歳～69歳,,24
r06-10-27,winners,宮崎県,70歳以上,,24
r06-10-27,winners,宮崎県,計,3,24
r06-10-27,winners,鹿児島県,25歳～29歳,,24
r06-10-27,winners,鹿児島県,30歳～34歳,,24
r06-10-27,winners,鹿児島県,35歳～39歳,,24
r06-10-27,winners,鹿児島県,40歳～44歳,,24
r06-10-27,winners,鹿児島県,45歳～49歳,,24
r06-10-27,winners,鹿児島県,50歳～54歳,,24
r06-10-27,winners,鹿児島県,55歳～59歳,,24
r06-10-27,winners,鹿児島県,60歳～64歳,1,24
r06-10-27,winners,鹿児島県,65歳～69歳,2,24
r06-10-27,winners,鹿児島県,70歳以上,1,24
r06-10-27,winners,鹿児島県,計,4,24
r06-10-27,winners,沖縄県,25歳～29歳,,24
r06-10-27,winners,沖縄県,30歳～34歳,,24
r06-10-27,winners,沖縄県,35歳～39歳,,24
r06-10-27,winners,沖縄県,40歳～44歳,,24
r06-10-27,winners,沖縄県,45歳～49歳,,24
r06-10-27,winners,沖縄県,50歳～54歳,,24
r06-10-27,winners,沖縄県,55歳～59歳,1,24
r06-10-27,winners,沖縄県,60歳～64歳,,24
r06-10-27,winners,沖縄県,65歳～69歳,1,24
r06-10-27,winners,沖縄県,70歳以上,2,24
r06-10-27,winners,沖縄県,計,4,24
r06-10-27,winners,合計,25歳～29歳,1,24
r06-10-27,winners,合計,30歳～34歳,5,24
r06-10-27,winners,合計,35歳～39歳,7,24
r06-10-27,winners,合計,40歳～44歳,25,24
r06-10-27,winners,合計,45歳～49歳,35,24
r06-10-27,winners,合計,50歳～54歳,45,24
r06-10-27,winners,合計,55歳～59歳,57,24
r06-10-27,winners,合計,60歳～64歳,43,24
r06-10-27,winners,合計,65歳～69歳,39,24
r06-10-27,winners,合計,70歳以上,32,24
r06-10-27,winners,合計,計,289,24
