election_id,block,rank,party,votes,share_pct,is_total_row,source_page
r06-10-27,四国,3,国民民主党,233515.289,15.09,false,46
r06-10-27,四国,4,公明党,196765,12.72,false,46
r06-10-27,四国,5,日本維新の会,103237,6.67,false,46
r06-10-27,四国,6,れいわ新選組,95973,6.20,false,46
r06-10-27,四国,7,日本共産党,88224,5.70,false,46
r06-10-27,四国,8,参政党,44127,2.85,false,46
r06-10-27,四国,9,社会民主党,24361,1.57,false,46
r06-10-27,四国,,__TOTAL__,1547246.906,100.00,true,46
r06-10-27,九州,1,自由民主党,1682815,28.50,false,47
r06-10-27,九州,2,立憲民主党,1200921.652,20.34,false,47
r06-10-27,九州,3,公明党,859912,14.56,false,47
r06-10-27,九州,4,国民民主党,564911.059,9.57,false,47
r06-10-27,九州,5,れいわ新選組,461425,7.81,false,47
r06-10-27,九州,6,日本維新の会,382034,6.47,false,47
r06-10-27,九州,7,参政党,277201,4.69,false,47
r06-10-27,九州,8,日本共産党,275408,4.66,false,47
r06-10-27,九州,9,社会民主党,200694,3.40,false,47
r06-10-27,九州,,__TOTAL__,5905321.711,100.00,true,47
