election_id,block,prefecture,party,votes,source_page
r08-02-08,四国,徳島県,国民民主党,33528,31
r08-02-08,四国,徳島県,参政党,26558,31
r08-02-08,四国,徳島県,日本共産党,11868,31
r08-02-08,四国,香川県,自由民主党,171375,31
r08-02-08,四国,香川県,中道改革連合,65162,31
r08-02-08,四国,香川県,日本維新の会,29780,31
r08-02-08,四国,香川県,国民民主党,101373,31
r08-02-08,四国,香川県,参政党,28858,31
r08-02-08,四国,香川県,日本共産党,11864,31
r08-02-08,四国,愛媛県,自由民主党,265167,31
r08-02-08,四国,愛媛県,中道改革連合,117881,31
r08-02-08,四国,愛媛県,日本維新の会,40387,31
r08-02-08,四国,愛媛県,国民民主党,52501,31
r08-02-08,四国,愛媛県,参政党,57330,31
r08-02-08,四国,愛媛県,日本共産党,18887,31
r08-02-08,四国,高知県,自由民主党,123284,31
r08-02-08,四国,高知県,中道改革連合,60050,31
r08-02-08,四国,高知県,日本維新の会,16523,31
r08-02-08,四国,高知県,国民民主党,26259,31
r08-02-08,四国,高知県,参政党,25441,31
r08-02-08,四国,高知県,日本共産党,25705,31
r08-02-08,四国,計,自由民主党,691402,31
r08-02-08,四国,計,中道改革連合,299777,31
r08-02-08,四国,計,日本維新の会,121217,31
r08-02-08,四国,計,国民民主党,213661,31
r08-02-08,四国,計,参政党,138187,31
r08-02-08,四国,計,日本共産党,68324,31
r08-02-08,九州,福岡県,自由民主党,839679,31
r08-02-08,九州,福岡県,中道改革連合,416055,31
r08-02-08,九州,福岡県,日本維新の会,155488,31
r08-02-08,九州,福岡県,国民民主党,194931,31
r08-02-08,九州,福岡県,参政党,186404,31
r08-02-08,九州,福岡県,日本共産党,78039,31
r08-02-08,九州,佐賀県,自由民主党,162419,31
r08-02-08,九州,佐賀県,中道改革連合,63340,31
r08-02-08,九州,佐賀県,日本維新の会,14842,31
r08-02-08,九州,佐賀県,国民民主党,24422,31
r08-02-08,九州,佐賀県,参政党,29365,31
r08-02-08,九州,佐賀県,日本共産党,7649,31
r08-02-08,九州,長崎県,自由民主党,252817,31
r08-02-08,九州,長崎県,中道改革連合,109637,31
r08-02-08,九州,長崎県,日本維新の会,34720,31
r08-02-08,九州,長崎県,国民民主党,63158,31
r08-02-08,九州,長崎県,参政党,40781,31
r08-02-08,九州,長崎県,日本共産党,16632,31
r08-02-08,九州,熊本県,自由民主党,338891,31
r08-02-08,九州,熊本県,中道改革連合,134174,31
r08-02-08,九州,熊本県,日本維新の会,48620,31
r08-02-08,九州,熊本県,国民民主党,52336,31
r08-02-08,九州,熊本県,参政党,77346,31
r08-02-08,九州,熊本県,日本共産党,21767,31
r08-02-08,九州,大分県,自由民主党,200678,31
r08-02-08,九州,大分県,中道改革連合,113321,31
r08-02-08,九州,大分県,日本維新の会,30178,31
r08-02-08,九州,大分県,国民民主党,39657,31
r08-02-08,九州,大分県,参政党,43668,31
r08-02-08,九州,大分県,日本共産党,16577,31
r08-02-08,九州,宮崎県,自由民主党,188854,31
r08-02-08,九州,宮崎県,中道改革連合,87548,31
r08-02-08,九州,宮崎県,日本維新の会,29086,31
r08-02-08,九州,宮崎県,国民民主党,44511,31
r08-02-08,九州,宮崎県,参政党,35039,31
r08-02-08,九州,宮崎県,日本共産党,12418,31
r08-02-08,九州,鹿児島県,自由民主党,311213,31
r08-02-08,九州,鹿児島県,中道改革連合,134318,31
r08-02-08,九州,鹿児島県,日本維新の会,34811,31
r08-02-08,九州,鹿児島県,国民民主党,43069,31
r08-02-08,九州,鹿児島県,参政党,58049,31
r08-02-08,九州,鹿児島県,日本共産党,17910,31
r08-02-08,九州,沖縄県,自由民主党,221783,31
r08-02-08,九州,沖縄県,中道改革連合,123351,31
r08-02-08,九州,沖縄県,日本維新の会,26683,31
r08-02-08,九州,沖縄県,国民民主党,43045,31
r08-02-08,九州,沖縄県,参政党,49252,31
r08-02-08,九州,沖縄県,日本共産党,39763,31
r08-02-08,九州,計,自由民主党,2516334,31
r08-02-08,九州,計,中道改革連合,1181744,31
r08-02-08,九州,計,日本維新の会,374428,31
r08-02-08,九州,計,国民民主党,505129,31
r08-02-08,九州,計,参政党,519904,31
r08-02-08,九州,計,日本共産党,210755,31
r08-02-08,,合計,自由民主党,21026140,31
r08-02-08,,合計,中道改革連合,10438802,31
r08-02-08,,合計,日本維新の会,4943330,31
r08-02-08,,合計,国民民主党,5572951,31
r08-02-08,,合計,参政党,4260620,31
r08-02-08,,合計,日本共産党,2519811,31
r08-02-08,北海道,北海道,れいわ新選組,76099,32
r08-02-08,北海道,北海道,減税日本・ゆうこく連合,32878,32
r08-02-08,北海道,北海道,日本保守党,60119,32
r08-02-08,北海道,北海道,社会民主党,31754,32
r08-02-08,北海道,北海道,チームみらい,134613,32
