election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
r08-02-08,smd,overseas,,鳥取県,17.28,17.61,17.51,14.63,12.50,13.18,2.65,5.11,4.33,12
r08-02-08,smd,overseas,,島根県,24.21,17.62,19.67,6.74,12.18,10.49,17.47,5.44,9.18,12
r08-02-08,smd,overseas,,岡山県,24.54,22.99,23.53,14.09,13.90,13.97,10.45,9.09,9.56,12
r08-02-08,smd,overseas,,広島県,20.65,21.00,20.86,13.84,12.45,13.00,6.81,8.55,7.86,12
r08-02-08,smd,overseas,,山口県,14.04,14.14,14.11,7.67,8.91,8.46,6.37,5.23,5.65,12
r08-02-08,smd,overseas,,徳島県,24.27,21.23,22.22,16.50,11.05,12.97,7.77,10.18,9.25,12
r08-02-08,smd,overseas,,香川県,18.97,19.53,19.33,15.10,11.11,12.62,3.87,8.42,6.71,12
r08-02-08,smd,overseas,,愛媛県,16.36,18.71,17.81,9.34,10.14,9.84,7.02,8.57,7.97,12
r08-02-08,smd,overseas,,高知県,9.49,10.55,10.14,4.84,6.44,5.82,4.65,4.11,4.32,12
r08-02-08,smd,overseas,,福岡県,21.73,20.77,21.11,13.99,12.91,13.29,7.74,7.86,7.82,12
r08-02-08,smd,overseas,,佐賀県,14.63,15.69,15.30,6.40,9.50,8.33,8.23,6.19,6.97,12
r08-02-08,smd,overseas,,長崎県,17.31,16.60,16.84,9.24,8.54,8.77,8.07,8.06,8.07,12
r08-02-08,smd,overseas,,熊本県,7.98,10.56,9.58,4.97,7.56,6.57,3.01,3.00,3.01,12
r08-02-08,smd,overseas,,大分県,17.18,20.94,19.67,7.88,11.00,9.89,9.30,9.94,9.78,12
r08-02-08,smd,overseas,,宮崎県,15.24,17.10,16.50,9.52,9.94,9.81,5.72,7.16,6.69,12
r08-02-08,smd,overseas,,鹿児島県,10.22,14.52,12.90,6.84,7.28,7.10,3.38,7.24,5.80,12
r08-02-08,smd,overseas,,沖縄県,3.70,4.69,4.29,2.55,3.02,2.83,1.15,1.67,1.46,12
r08-02-08,smd,overseas,,合計,30.96,26.01,28.02,20.88,16.18,18.11,10.08,9.83,9.91,12
r08-02-08,pr,all,北海道,北海道,59.15,56.84,57.92,56.96,55.43,56.15,2.19,1.41,1.77,15
r08-02-08,pr,all,東北,青森県,51.31,47.59,49.33,52.66,50.67,51.60,-1.35,-3.08,-2.27,15
r08-02-08,pr,all,東北,岩手県,60.34,57.87,59.06,56.50,54.67,55.54,3.84,3.20,3.52,15
r08-02-08,pr,all,東北,宮城県,57.14,55.08,56.08,52.83,51.52,52.15,4.31,3.56,3.93,15
r08-02-08,pr,all,東北,秋田県,59.22,55.73,57.37,60.61,58.40,59.44,-1.39,-2.67,-2.07,15
r08-02-08,pr,all,東北,山形県,62.34,59.30,60.76,62.04,59.67,60.81,0.30,-0.37,-0.05,15
r08-02-08,pr,all,東北,福島県,59.15,57.90,58.51,54.39,53.49,53.93,4.76,4.41,4.58,15
r08-02-08,pr,all,東北,計,58.06,55.54,56.75,55.64,54.03,54.81,2.42,1.51,1.94,15
r08-02-08,pr,all,北関東,茨城県,53.71,51.57,52.64,52.92,51.98,52.44,0.79,-0.41,0.20,15
r08-02-08,pr,all,北関東,栃木県,54.21,51.81,53.01,51.13,49.35,50.24,3.08,2.46,2.77,15
r08-02-08,pr,all,北関東,群馬県,54.48,52.31,53.38,50.65,49.22,49.92,3.83,3.09,3.46,15
r08-02-08,pr,all,北関東,埼玉県,54.53,52.34,53.42,51.83,50.47,51.14,2.70,1.87,2.28,15
r08-02-08,pr,all,北関東,計,54.31,52.11,53.20,51.80,50.45,51.12,2.51,1.66,2.08,15
r08-02-08,pr,all,南関東,千葉県,54.65,52.96,53.80,52.42,51.84,52.13,2.23,1.12,1.67,15
r08-02-08,pr,all,南関東,神奈川県,56.63,54.69,55.65,54.75,54.31,54.53,1.88,0.38,1.12,15
r08-02-08,pr,all,南関東,山梨県,59.22,57.85,58.52,56.92,56.61,56.76,2.30,1.24,1.76,15
r08-02-08,pr,all,南関東,計,55.99,54.18,55.08,53.96,53.48,53.72,2.03,0.70,1.36,15
r08-02-08,pr,all,東京都,東京都,59.79,58.55,59.15,56.27,55.85,56.06,3.52,2.70,3.09,15
r08-02-08,pr,all,北陸信越,新潟県,60.94,56.96,58.88,60.07,57.13,58.55,0.87,-0.17,0.33,15
r08-02-08,pr,all,北陸信越,富山県,55.30,51.31,53.24,55.66,53.77,54.68,-0.36,-2.46,-1.44,15
r08-02-08,pr,all,北陸信越,石川県,57.34,55.27,56.26,55.80,54.44,55.09,1.54,0.83,1.17,15
r08-02-08,pr,all,北陸信越,福井県,55.39,53.25,54.29,58.31,56.52,57.39,-2.92,-3.27,-3.10,15
r08-02-08,pr,all,北陸信越,長野県,61.72,58.98,60.31,58.33,56.14,57.20,3.39,2.84,3.11,15
